#,SKU Code,SKU Name (original),Folder Name,Brand,Manufacturer,Pack,MRP,Image Count
101,428ef380-6dd4-4cdb-a237-bcdaddf37721,"Cycle Om Shanthi Camphor, 12 Gm","Cycle Om Shanthi Camphor, 12 Gm (428ef380)",Om Shanthi,N. Ranga Rao & Sons Private Limited,12 Gram,20,0
102,fceb1862-1012-4143-8da9-02db46432578,"Cycle Om Shanthi Camphor, 50 Gm","Cycle Om Shanthi Camphor, 50 Gm",Om Shanthi,N. Ranga Rao & Sons Private Limited,50 Gram,50,0
103,73281659-4ba9-4f18-a289-f5161cc40c81,"Cycle Om Shanthi Camphor, 52 Gm","Cycle Om Shanthi Camphor, 52 Gm",Om Shanthi,N. Ranga Rao & Sons Private Limited,52 Gram,90,0
104,e30a1f0e-9673-49f6-97e8-660ea234d4dd,"Om Shanthi Pure Cotton Wicks (Mogra Watt), 50 Pcs","Om Shanthi Pure Cotton Wicks (Mogra Watt), 50 Pcs",Om Shanthi,N. Ranga Rao & Sons Private Limited,50 Nons,15,0
105,5b0b8673-39c2-44b6-a713-1180fc61d92c,"Om Shanthi Pure Cotton Wicks (Samai Watt), 60 Pcs","Om Shanthi Pure Cotton Wicks (Samai Watt), 60 Pcs",Om Shanthi,N. Ranga Rao & Sons Private Limited,60 Nons,15,0
106,bc3cc595-e883-4570-8335-c32298552f96,"Cycle Sambrani, 14 Pcs","Cycle Sambrani, 14 Pcs",Cycle,N. Ranga Rao & Sons Private Limited,14 Nons,15,0
107,91d788c0-5b11-4f2e-b273-271e208ec6bf,"Eco Premium Agarbathi, 175 Gm","Eco Premium Agarbathi, 175 Gm",Flute,N. Ranga Rao & Sons Private Limited,175 Gram,100,0
108,461752e5-ba50-4689-aa7b-5d33e6d84fa7,"Good Luck Premium Cone, 100 Gm","Good Luck Premium Cone, 100 Gm",Good Luck,N. Ranga Rao & Sons Private Limited,100 Gram,80,0
109,e8049530-b085-445f-bf90-5fe180951178,"Good Luck Kewda Agarbathi, 100 Gm","Good Luck Kewda Agarbathi, 100 Gm",Good Luck,N. Ranga Rao & Sons Private Limited,100 Gram,70,0
110,2a48cf44-ff25-404b-9182-538e92d587d8,"Good Luck Lavender Dhoop, 100 Gm","Good Luck Lavender Dhoop, 100 Gm",Good Luck,N. Ranga Rao & Sons Private Limited,100 Gram,80,0
111,c2c3bed5-967e-48f7-9846-4fec456c4c3d,"Good Luck Lavender – Calming Premium Incense Sticks for Relaxation, 100 Gm","Good Luck Lavender – Calming Premium Incense Sticks for Relaxation, 100 Gm",Good Luck,N. Ranga Rao & Sons Private Limited,100 Gram,70,0
112,3f46f11d-2cc9-483f-8f6d-06156747d3e1,"Good Luck Mogra Cone, 100 Gm","Good Luck Mogra Cone, 100 Gm",Good Luck,N. Ranga Rao & Sons Private Limited,100 Gram,80,0
113,a23ae1d7-597f-4dba-addc-f8f3d9094046,"Good Luck Mogra Dhoop, 100 Gm","Good Luck Mogra Dhoop, 100 Gm",Good Luck,N. Ranga Rao & Sons Private Limited,100 Gram,80,0
114,e4f75d7a-e3e9-4ba0-9fe7-b27552cf7299,"Good Luck Mogra Agarbathi, 220 Gm","Good Luck Mogra Agarbathi, 220 Gm",Good Luck,N. Ranga Rao & Sons Private Limited,220 Gram,125,0
115,4b3bc682-8420-4df4-960c-4870b9dfc849,"Good Luck Mogra Agarbathi, 100 Gm","Good Luck Mogra Agarbathi, 100 Gm",Good Luck,N. Ranga Rao & Sons Private Limited,100 Gram,70,0
116,0a17c8e1-2a5b-41f9-a11a-d792f230fa42,"Good Luck Musk – Warm & Earthy Premium Incense Sticks, 220 Gm","Good Luck Musk – Warm & Earthy Premium Incense Sticks, 220 Gm",Good Luck,N. Ranga Rao & Sons Private Limited,220 Gram,125,0
